@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-9,11-12,14,17-18,20,25'

@attribute distFromSource numeric
@attribute hour numeric
@attribute minute numeric
@attribute regionCode {30,40,50,60,70,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute typeMeasurementId {0,1,2,3,4,5,7,8,9,10}
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute logrunupHt {m,s,l}

@data
5010.057822,4,23,88,1,8.1,2,7.3,8.2,8.530885,10,s
43.659442,14,42,60,1,7.8,10,6.5,7.3,8.530885,20,m
8748.529396,19,11,81,1,9.5,1,6.88237,8.5,12,33,m
286.366816,17,31,85,1,8.4,1,6.88237,8.5,8.530885,15,m
10857.00338,19,11,81,1,9.5,2,6.88237,8.5,12,33,s
39.050944,5,42,85,1,6.2,2,6.88237,8.009683,8,8,s
2522.196913,8,28,85,1,7.6,2,6.4,7.6,6,50,s
127.10024,14,42,60,1,7.8,10,6.5,7.3,8.530885,20,m
11.720048,2,58,85,1,7.9,1,6.88237,7.9,8.530885,35,m
201.609657,17,48,81,1,8.1,4,7.1,8.1,8.530885,18,l
9605.323658,5,11,88,1,8,2,6.6,7.3,7,46,s
179.53282,17,48,81,1,8.1,4,7.1,8.1,8.530885,18,m
173.222532,15,8,85,1,7.5,1,6.88237,7.5,9,10,m
323.952015,1,22,85,1,8.1,1,6.88237,8.3,9,45,m
391.134126,8,19,60,1,7.7,5,6.1,7.2,8.530885,20,m
355.332084,9,22,85,1,7.4,2,6.3,7.2,10,56,s
217.808507,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
55.371559,8,34,81,1,7.8,2,7.1,8,9,59,s
8407.330682,15,26,88,1,8,2,7.2,7.8,7,55,s
5816.4878,14,47,88,3,7.7,2,6,7.2,9,2,s
10994.56771,19,11,80,1,9.5,5,6.88237,8.5,12,33,m
58.06979,0,58,60,1,9.1,4,7,8.8,8.530885,30,m
3832.948647,23,24,85,1,8.8,2,7,8,8,35,s
7933.302672,5,46,81,1,9.1,2,7.2,8.3,8.530885,29,s
2039.984671,0,58,60,1,9.1,5,7,8.8,8.530885,30,m
437.269406,6,8,60,1,8.3,1,7,8,8.530885,25,m
7333.919961,14,9,73,1,8.6,7,8,8.6,11,33,s
724.056566,4,23,86,1,8.1,2,7.3,8.2,8.530885,10,s
67.790421,7,59,89,1,8.1,1,6.4,7.7,9,23,m
17188.47316,19,11,85,1,9.5,1,6.88237,8.5,12,33,s
2725.499726,19,19,85,1,8.3,1,6.88237,8.1,8.530885,15,l
723.170265,5,46,86,1,9.1,5,7.2,8.3,8.530885,29,m
4899.571227,0,58,60,1,9.1,5,7,8.8,8.530885,30,m
144.986774,23,46,89,1,8.2,5,6.88237,8.009683,8,25,m
6249.680016,5,46,80,1,9.1,5,7.2,8.3,8.530885,29,m
118.956178,12,51,89,1,7.5,5,5.8,6.6,4,10,l
117.985082,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
73.341192,8,49,82,3,7,4,5.8,7.1,8.530885,25,m
145.053831,23,46,89,1,8.2,5,6.88237,8.009683,8,25,m
246.526431,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,l
56.208927,7,10,85,3,7.5,5,6.9,7.2,9,10,m
122.202743,4,37,88,1,7.3,5,6.88237,8.009683,8.530885,28,m
8.355829,3,49,84,1,6.7,4,6.3,6.6,8,11,m
243.735791,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
10393.02205,15,35,82,1,8,2,6.6,7.4,8.530885,33,s
103.702745,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
282.217152,1,22,85,1,8.1,1,6.88237,8.3,9,45,m
11153.86065,19,11,80,1,9.5,5,6.88237,8.5,12,33,m
98.201711,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
193.907004,0,48,85,1,8.2,1,6.88237,8.009683,6,7,l
7726.530269,5,46,88,1,9.1,1,7.2,8.3,8.530885,29,s
40.497423,3,24,85,1,6.6,2,6.2,6.6,5,14,s
3547.535254,14,22,80,1,8.6,5,6.88237,9.1,8.530885,33,l
182.975496,22,54,89,1,8.3,10,6.88237,8.009683,9,22,s
194.194562,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,l
182.535697,22,54,89,1,8.3,10,6.88237,8.009683,9,22,s
95.864803,10.267355,36.035092,85,1,6.5,1,6.88237,6.5,8.530885,26.742663,m
206.957837,4,30,85,1,8,1,6.88237,8,5,26.742663,m
14590.27995,6,34,87,1,8.8,2,7.2,8.5,9,22,s
8033.031012,22,47,81,1,8,2,6.4,7.7,6,19,s
103.719585,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,m
3667.175204,20,54,80,1,7.6,2,6.88237,8.009683,8,33,s
744.492463,2,59,85,1,7.8,1,6.8,7.7,8,24,m
7995.71448,1,12,87,1,7.9,2,6.4,7.4,8,24,s
268.536706,9,50,85,1,7,2,6.88237,8.009683,8.530885,40,s
71.851385,19,50,85,1,8.3,5,6.9,8.1,8.530885,27,m
7.375269,7,10,85,3,7.5,5,6.9,7.2,9,10,m
181.51016,22,54,89,1,8.3,10,6.88237,8.009683,9,22,m
10046.36506,19,28,88,1,8.1,2,6.88237,8.009683,9,19,s
399.040729,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
3774.610501,14,22,80,1,8.6,5,6.88237,9.1,8.530885,33,m
4172.34197,22,47,85,1,8,2,6.4,7.7,6,19,s
281.933032,0,48,85,1,8.2,1,6.88237,8.009683,6,7,m
9530.998888,22,3,88,1,7.6,2,6.4,7.3,8.530885,45,s
188.375827,12,29,87,3,8.6,1,6.88237,7.3,6,15,l
69.554146,10,2,83,3,7.5,10,6.88237,8.009683,9,20,s
16987.80261,19,11,85,1,9.5,1,6.88237,8.5,12,33,m
1903.42761,5,46,85,1,9.1,2,7.2,8.3,8.530885,29,s
52.696116,1,30,85,1,6.1,2,5.5,5.9,8.530885,10,s
585.012931,5,46,85,1,9.1,2,7.2,8.3,8.530885,29,s
24.503303,18,35,86,1,7.1,1,6.3,7.1,9,9,m
120.487083,0,52,85,1,7.2,2,6.88237,7.1,8.530885,25,s
3962.574976,18,44,85,1,7.6,2,6.5,7.8,8.530885,13,s
3516.407924,12,29,80,3,8.6,2,6.88237,7.3,6,15,m
103.209145,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,l
15755.96516,19,11,86,1,9.5,1,6.88237,8.5,12,33,s
214.096958,17,48,81,1,8.1,4,7.1,8.1,8.530885,18,l
221.948183,2,59,85,1,7.8,2,6.8,7.7,8,24,s
12394.07121,19,11,81,1,9.5,2,6.88237,8.5,12,33,s
29.944065,21,56,74,1,7.6,5,6.3,7.4,10,10,s
81.098333,22,54,89,1,8.3,5,6.88237,8.009683,9,22,m
2025.019735,0,58,60,1,9.1,5,7,8.8,8.530885,30,m
8592.488074,22,54,88,1,8.3,2,6.88237,8.009683,9,22,s
99.133688,11,14,86,1,8.3,5,6.5,7.8,8.530885,10,l
108.870961,16,46,85,1,7.4,2,6.88237,7.4,8.530885,10,s
1824.773025,0,58,60,1,9.1,4,7,8.8,8.530885,30,l
108.031153,17,36.035092,85,1,8.2,1,6.88237,8.2,8.530885,26.742663,m
257.779884,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
40.887101,3,11,50,3,7.7,5,6.88237,7.8,9,20,l
143.461635,21,26,86,1,8.2,1,6.88237,7.8,9,30,m
122.707683,18,10,85,1,7.6,2,6.88237,7.3,8.530885,74,s
205.517405,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
5332.445701,7,15,80,1,8.2,2,6.88237,8,10,60,s
13070.62094,14,22,89,1,8.6,2,6.88237,9.1,8.530885,33,s
51.703274,14,42,60,1,7.8,10,6.5,7.3,8.530885,20,m
185.620134,4,35,85,1,8.1,1,6.88237,8,8.530885,30,m
212.490825,20,59,85,1,6.9,2,6.88237,8.009683,8,9,s
46.581956,14,42,60,1,7.8,10,6.5,7.3,8.530885,20,s
31.54772,3,27,80,3,6.5,2,5.8,6.1,6,9,s
114.426828,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,s
53.625974,6,19,50,1,6.9,1,6.2,6.9,9,10,m
1735.472785,13,22,85,1,8.3,2,7.3,8.1,9,14,s
49.4076,2,58,85,1,7.9,1,6.88237,7.9,8.530885,35,m
2126.001098,21,26,87,1,8.2,2,6.88237,7.8,9,30,s
69.537673,2,58,85,1,7.9,1,6.88237,7.9,8.530885,35,m
1714.182549,0,58,60,1,9.1,4,7,8.8,8.530885,30,l
3324.638472,12,29,88,3,8.6,1,6.88237,7.3,6,15,m
270.351219,2,59,85,1,7.8,2,6.8,7.7,8,24,s
90.262873,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,s
625.786164,21,17,85,1,6.4,2,6.88237,8.009683,8.530885,11,s
505.681177,17,31,85,1,8.4,2,6.88237,8.5,8.530885,15,s
838.838763,4,1,86,1,7.5,2,6.88237,8.009683,5,40,s
110.815256,15,53,88,3,6.8,7,6.88237,8.009683,9,26.742663,s
60.458499,10,2,83,3,7.5,5,6.88237,8.009683,9,20,m
9378.682138,19,11,81,1,9.5,1,6.88237,8.5,12,33,s
58.309989,23,46,89,1,8.2,5,6.88237,8.009683,8,25,m
11.913658,22,31,50,1,6.6,5,6.88237,8.009683,7,7,s
3635.083093,12,29,80,3,8.6,5,6.88237,7.3,6,15,s
123.965676,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
233.113801,22,54,89,1,8.3,5,6.88237,8.009683,9,22,m
2725.499726,0,26,81,3,6.4,1,6.88237,6.8,8.530885,33,m
52.511134,8,34,81,1,7.8,2,7.1,8,9,59,s
91.75284,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,l
3994.786459,19,43,81,1,7.6,2,6.6,7.5,8.530885,17,s
2228.051827,4,37,89,1,7.3,3,6.88237,8.009683,8.530885,28,s
259.540674,0,58,60,1,9.1,10,7,8.8,8.530885,30,l
5099.389416,0,26,80,3,6.4,2,6.88237,6.8,8.530885,33,s
10142.91507,3,4,82,1,7.7,2,6.5,7.5,8.530885,14,s
209.136209,22,54,89,1,8.3,5,6.88237,8.009683,9,22,m
17011.46382,19,11,85,1,9.5,1,6.88237,8.5,12,33,m
263.006841,0,58,60,1,9.1,5,7,8.8,8.530885,30,l
17420.43636,19,11,85,1,9.5,1,6.88237,8.5,12,33,m
5147.018548,16,58,84,1,9,2,6.88237,8.5,7,22,s
120.472431,12,35,81,1,7.6,1,6.88237,8.009683,8.530885,12,s
5982.569205,12,2,85,1,7.7,2,6.4,7.9,8.530885,33,s
181.493978,22,54,89,1,8.3,10,6.88237,8.009683,9,22,m
159.731974,22,54,89,1,8.3,5,6.88237,8.009683,9,22,m
108.481134,22,38,83,1,5.8,2,6.88237,8.009683,8.530885,8,s
2133.017285,0,58,60,1,9.1,5,7,8.8,8.530885,30,l
1067.088498,12,36,82,1,7.4,2,6.88237,8.009683,8.530885,39,s
166.259825,4,49,88,1,8.2,1,6.88237,8.009683,9,47,m
7711.760255,0,48,88,1,8.2,2,6.88237,8.009683,6,7,s
48.446851,10,2,83,3,7.5,10,6.88237,8.009683,9,20,l
406.879376,9,23,85,1,7.2,2,6.88237,7.9,8.530885,33,s
10483.54237,23,46,80,1,8.2,2,6.88237,8.009683,8,25,s
49.611797,8,49,82,3,7,1,5.8,7.1,8.530885,25,l
