distFromSource,doubtful,hour,minute,regionCode,sourceEqMagnitude,typeMeasurementId,eqMagMb,eqMagMs,intensity,eqDepth,logrunupHt
203.977939,n,0,48,85,8.2,1,6.88237,8.009683,6,7,m
10661.32353,n,21,30,81,8.5,1,6.88237,8.5,11,25,s
13302.09171,n,5,46,89,9.1,5,7.2,8.3,8.530885,29,m
93.545605,n,4,35,85,8.1,1,6.88237,8,8.530885,30,s
195.020081,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
12756.9676,n,22,54,87,8.3,2,6.88237,8.009683,9,22,s
168.546516,n,0,48,85,8.2,1,6.88237,8.009683,6,7,m
17347.433,n,19,11,85,9.5,2,6.88237,8.5,12,33,m
272.028647,n,5,46,85,9.1,2,7.2,8.3,8.530885,29,s
2789.132254,n,15,8,85,7.5,1,6.88237,7.5,9,10,s
57.864209,n,10,2,83,7.5,10,6.88237,8.009683,9,20,m
663.296042,n,0,58,60,9.1,5,7,8.8,8.530885,30,l
12782.42899,a,4,14,74,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
105.555093,n,22,54,89,8.3,5,6.88237,8.009683,9,22,m
17595.60351,n,19,11,85,9.5,1,6.88237,8.5,12,33,m
5100.625203,n,14,22,88,8.6,1,6.88237,9.1,8.530885,33,s
96.238873,n,19,19,85,8.3,1,6.88237,8.1,8.530885,15,m
282.375941,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
91.742421,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
69.497399,n,10,2,83,7.5,4,6.88237,8.009683,9,20,l
122.202743,n,4,37,88,7.3,5,6.88237,8.009683,8.530885,28,m
92.535744,n,16,9,60,8.6,5,7.2,8.4,8.530885,30,m
228.332249,n,3,15,86,7.5,2,6.4,7.5,6,33,s
465.868509,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
0.561111,n,15,45,88,8.300422,5,6.88237,8.009683,8.530885,26.742663,l
264.193422,n,6,34,89,8.8,5,7.2,8.5,9,22,l
17244.70191,n,5,11,85,8,2,6.6,7.3,7,46,s
5945.648496,n,5,46,80,9.1,2,7.2,8.3,8.530885,29,s
36.248457,n,6,34,89,8.8,5,7.2,8.5,9,22,l
6966.758457,n,3,4,81,7.7,2,6.5,7.5,8.530885,14,s
8566.809467,y,4,14,84,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
3793.645539,n,14,22,80,8.6,5,6.88237,9.1,8.530885,33,m
224.688534,n,0,42,85,7.5,2,6.88237,7.5,7,30,s
201.901174,n,17,48,81,8.1,4,7.1,8.1,8.530885,18,m
16570.03902,n,23,46,85,8.2,2,6.88237,8.009683,8,25,s
175.213025,n,15,8,85,7.5,1,6.88237,7.5,9,10,m
49.271006,n,13,55,60,8.300422,10,6.88237,8.009683,8.530885,26.742663,s
6390.587321,n,0,58,60,9.1,5,7,8.8,8.530885,30,m
109.836577,n,13,17,88,8,1,6.8,8.1,9,28,m
2601.285114,a,4,14,81,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
18450.59998,n,6,34,84,8.8,2,7.2,8.5,9,22,s
4152.619734,n,8,49,85,7,2,5.8,7.1,8.530885,25,s
10676.84263,n,19,11,80,9.5,5,6.88237,8.5,12,33,s
13234.73369,n,5,46,89,9.1,5,7.2,8.3,8.530885,29,m
181.575309,n,22,54,89,8.3,10,6.88237,8.009683,9,22,m
5409.052855,y,13,47,87,7,2,5.8,7,8.530885,15,s
6249.631831,n,5,46,80,9.1,5,7.2,8.3,8.530885,29,m
95.323223,n,11,2,81,7.8,2,6.88237,8.009683,9,15,s
408.348702,n,4,35,85,8.1,2,6.88237,8,8.530885,30,s
323.194845,n,13,22,85,8.3,2,7.3,8.1,9,14,s
2643.733266,n,3,36,88,9.2,5,6.88237,8.4,10,25,l
9288.793719,n,1,12,88,7.9,2,6.4,7.4,8,24,s
464.32347,n,1,22,85,8.1,1,6.88237,8.3,9,45,s
134.512783,n,5,59,83,8.2,5,6.5,8.1,9,33,m
277.026713,n,17,31,85,8.4,1,6.88237,8.5,8.530885,15,l
153.518731,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
43.021027,n,19,19,85,8.3,1,6.88237,8.1,8.530885,15,l
174.581071,n,23,14,85,5.6,2,6.88237,8.009683,8.530885,11,s
10645.09725,n,19,11,80,9.5,5,6.88237,8.5,12,33,l
5953.644547,n,5,46,80,9.1,5,7.2,8.3,8.530885,29,m
3263.073413,n,22,58,80,8.3,2,6.88237,8.009683,10,40,s
3396.429031,n,8,18,89,7.8,2,6.88237,7.8,8,47,s
96.80711,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
92.12046,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,s
10862.92947,n,19,11,80,9.5,5,6.88237,8.5,12,33,m
10433.97015,n,20,33,81,8.4,2,6.7,8.2,8,33,s
16985.50501,n,19,11,85,9.5,1,6.88237,8.5,12,33,m
181.280358,n,22,54,89,8.3,10,6.88237,8.009683,9,22,s
43.993918,n,10,37,85,7.1,1,6.4,6.9,8.530885,28,m
12940.76475,y,17,8,88,7.6,2,6.88237,7.6,9,26.742663,s
9744.965905,n,16,47,88,8,2,6.5,8,8.530885,33,s
2107.749416,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
3573.222691,n,14,22,80,8.6,5,6.88237,9.1,8.530885,33,m
8550.89756,n,14,22,88,8.6,1,6.88237,9.1,8.530885,33,s
278.112789,n,21,53,74,7,2,6.8,7.3,8.530885,13,s
39.03833,n,13,55,60,8.300422,10,6.88237,8.009683,8.530885,26.742663,m
292.676036,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
59.783834,n,18,44,82,7.6,5,6.5,7.8,8.530885,13,m
263.040761,n,13,17,85,7.7,2,6.6,7.6,8,17,s
264.016772,n,16,37,81,7,2,6.88237,8.009683,5,19,s
1733.864148,n,5,46,85,9.1,2,7.2,8.3,8.530885,29,s
28.613951,n,8,49,82,7,5,5.8,7.1,8.530885,25,m
147.627189,n,4,1,85,7.5,2,6.88237,8.009683,5,40,m
246.093965,n,4,30,85,8,1,6.88237,8,5,26.742663,s
195.174678,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
411.158759,n,13,41,85,7.2,2,6,7.2,8.530885,44,s
3231.035644,n,14,37,85,7.6,2,6.88237,8.009683,7,32,s
4567.581079,n,8,49,85,7,2,5.8,7.1,8.530885,25,s
236.061128,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
227.185427,n,2,32,85,6.9,2,6.4,6.7,10,44,s
168.292413,n,17,48,81,8.1,5,7.1,8.1,8.530885,18,m
2789.132254,n,1,22,85,8.1,1,6.88237,8.3,9,45,m
270.557751,n,9,8,85,6.9,2,6.7,6.9,8.530885,12,s
3790.464831,n,14,22,80,8.6,1,6.88237,9.1,8.530885,33,m
16.130842,n,7,10,85,7.5,4,6.9,7.2,9,10,m
2020.666734,n,9,31,88,7.9,2,6.88237,8.009683,4,14,s
179.662944,n,22,54,89,8.3,5,6.88237,8.009683,9,22,m
6220.403382,n,5,46,82,9.1,3,7.2,8.3,8.530885,29,s
33.901876,n,8,49,82,7,4,5.8,7.1,8.530885,25,l
17481.29605,n,19,11,85,9.5,1,6.88237,8.5,12,33,m
6307.61712,n,5,46,80,9.1,5,7.2,8.3,8.530885,29,m
3495.708799,a,2,59,60,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
11148.90178,n,19,11,80,9.5,5,6.88237,8.5,12,33,m
17425.66512,n,19,11,85,9.5,2,6.88237,8.5,12,33,s
2789.132254,m,10.1087,35.732291,75,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
183.063702,n,22,54,89,8.3,5,6.88237,8.009683,9,22,l
196.965567,n,6,34,89,8.8,5,7.2,8.5,9,22,l
10855.25598,n,19,11,80,9.5,5,6.88237,8.5,12,33,m
28.505799,n,2,37,86,6.2,5,5.3,6.2,8.530885,5,s
2287.434775,n,22,3,81,7.6,2,6.4,7.3,8.530885,45,s
536.946511,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
7596.475203,n,19,11,81,9.5,5,6.88237,8.5,12,33,s
3197.405776,n,13,19,81,7.7,2,6.88237,8.009683,7,10,s
160.570208,n,21,38,85,7.1,2,6.88237,7.1,8.530885,0,s
9225.442703,n,16,7,88,8.2,2,7.6,7.9,8.530885,35,s
186.02544,n,20,39,82,8.1,5,6.8,7.9,8.530885,24,m
10956.39468,n,5,59,88,8.2,2,6.5,8.1,9,33,s
5986.964121,n,5,46,80,9.1,5,7.2,8.3,8.530885,29,m
132.736387,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
141.713984,n,12,51,89,7.5,5,5.8,6.6,4,10,m
182.308379,n,22,54,89,8.3,10,6.88237,8.009683,9,22,s
220.820668,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
135.054722,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
1224.343795,n,17,19,85,7.4,2,7,7.5,8.530885,14,s
6434.105991,n,0,58,60,9.1,5,7,8.8,8.530885,30,m
43.692638,n,22,36,82,7.1,5,6.4,7.1,8.530885,25,s
996.881613,n,0,58,60,9.1,5,7,8.8,8.530885,30,m
418.23339,n,6,12,87,7.8,3,6.88237,8.009683,8,28,s
237.600046,n,14,23,85,7.2,2,6.2,6.8,8.530885,37,s
172.145189,n,17,48,81,8.1,5,7.1,8.1,8.530885,18,l
732.525025,n,5,46,85,9.1,2,7.2,8.3,8.530885,29,s
133.089757,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,s
102.411311,n,19,19,85,8.3,1,6.88237,8.1,8.530885,15,s
348.477209,a,4,14,81,8.300422,10,6.88237,8.009683,8.530885,26.742663,s
7.258903,n,10.1087,35.732291,85,6.4,1,6.88237,6.4,8.530885,26.742663,l
205.424271,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
