area,country,day,distFromSource,doubtful,hour,latitude,locationName,longitude,minute,month,publish,regionCode,second,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,typeMeasurementId,year,eqMagMb,eqMagMs,intensity,eqDepth,elevation,logrunupHt
BALI,INDONESIA,19.0,438.457184,n,6.0,-8.745,"BENOA, BALI ISLAND",115.21,8.0,8.0,True,60,55.0,1,8.3,4,True,1,1977,7.0,8.0,8.530885,25.0,7.0,m
CA,USA,2.0,8278.735155,n,17.0,33.719,"LOS ANGELES, CA",-118.272,31.0,3.0,True,88,0.0,1,8.4,4,True,2,1933,6.88237,8.5,8.530885,15.0,0.0,s
HI,USA,1.0,3785.279398,n,12.0,19.908,"HAKALAU, HAWAII, HI",-155.131,29.0,4.0,True,80,1.3,3,8.6,4,True,5,1946,6.88237,7.3,6.0,15.0,0.0,l
MARQUESAS ISLANDS,FRENCH POLYNESIA,11.0,9579.990506,n,5.0,-9.34492,"BAIE DES REQUINS, UA POU",-140.09264,46.0,3.0,True,81,24.1,1,9.1,4,True,5,2011,7.2,8.3,8.530885,29.0,9.0,m
LA LIBERTAD,PERU,21.0,145.387778,n,12.0,-8.487233,EL CARMELO I,-78.87195,51.0,2.0,True,89,1.3,1,7.5,4,True,5,1996,5.8,6.6,4.0,10.0,8.0,s
MIYAGI,MEXICO,8.0,820.343504,n,4.0,10.83583,"D43413 BPR, 360 NM SW ACAPULCO",-100.14056,49.0,9.0,True,88,19.2,1,8.2,4,True,3,2017,6.88237,8.009683,9.0,47.0,23.26321213620249,s
IWATE,JAPAN,11.0,163.006369,n,5.0,39.729778,"IWATE PREFECTURE, TOHOKU REGION",141.961389,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,11.0,l
GALAPAGOS ISLANDS,ECUADOR,11.0,13170.25599,n,5.0,-0.21685,"PLAYA SA II, SANTIAGO ISLAND",-90.608367,46.0,3.0,True,89,24.1,1,9.1,4,True,5,2011,7.2,8.3,8.530885,29.0,5.0,s
CENTRAL SULAWESI,INDONESIA,28.0,65.424268,n,10.0,-0.846648,TONDO (10.6),119.88064,2.0,9.0,True,83,45.3,3,7.5,4,True,10,2018,6.88237,8.009683,9.0,20.0,17.0,m
HI,USA,29.0,15.380173,n,14.0,19.313,"KAMOAMOA, HAWAII, HI",-155.05,47.0,11.0,True,80,40.9,3,7.7,4,True,1,1975,6.0,7.2,9.0,2.0,0.0,l
MIYAGI,UK,31.0,2594.626319,n,12.0,57.15,"FORT AUGUSTUS, SCOTLAND",-4.683,1.0,3.0,True,73,27.396394,1,8.5,3,True,1,1761,6.88237,8.5,9.0,26.742663,39.0,s
MIYAGI,MALDIVES,26.0,2493.44286,n,0.0,1.93235,"FONADHOO, LAAMU",73.6,58.0,12.0,True,60,53.5,1,9.1,4,True,4,2004,7.0,8.8,8.530885,30.0,0.0,m
WAKAYAMA,JAPAN,4.0,3960.392981,n,5.0,34.217,WAKAYAMA,135.15,1.0,2.0,True,85,22.0,1,8.7,4,True,2,1965,7.7,7.8,6.0,30.0,9.0,s
