@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14,17-20'

@attribute distFromSource numeric
@attribute regionCode {30,40,50,60,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute elevation numeric
@attribute logrunupHt {m,s,l}

@data
86.548185,85,1,8.1,6.88237,8,8.530885,30,292,l
57.515049,85,1,8.1,6.88237,8.3,9,45,58,s
106.883083,85,1,9.1,7.2,8.3,8.530885,29,6,l
174.912146,85,1,8.3,6.88237,8.1,8.530885,15,6,s
2624.498508,88,3,9.2,6.88237,8.4,10,25,0,m
98.248868,86,1,8.3,6.5,7.8,8.530885,10,0,l
22.676112,85,3,7.5,6.9,7.2,9,10,11,s
181.464036,89,1,8.3,6.88237,8.009683,9,22,20,s
4374.75535,85,3,8.2,6.5,8.1,9,33,0,s
119.266804,85,1,9.1,7.2,8.3,8.530885,29,8,m
8294.760958,81,1,8,6.8,8.1,9,28,0,s
177.614308,81,1,8.1,7.1,8.1,8.530885,18,8,m
63.052578,83,3,7.5,6.88237,8.009683,9,20,25,m
318.59105,85,1,9.1,7.2,8.3,8.530885,29,5,m
219.622903,85,1,9.1,7.2,8.3,8.530885,29,7,m
13234.68048,89,1,9.1,7.2,8.3,8.530885,29,7,m
133.373715,85,1,9.1,7.2,8.3,8.530885,29,10,l
31.711912,88,3,7.5,6.88237,7.5,8,26.742663,7,m
181.552545,89,1,8.3,6.88237,8.009683,9,22,20,m
2108.422092,60,1,9.1,7,8.8,8.530885,30,0,m
4168.689656,80,1,7.7,6.5,7.5,8.530885,14,11,s
135.510892,88,1,7.6,5.4,7.7,8.530885,30,10,l
204.773181,85,1,8.2,6.88237,8.009683,6,7,0,m
74.251369,60,1,7.8,6.5,7.3,8.530885,20,13,m
8465.704439,88,1,9.1,7.2,8.3,8.530885,29,0,s
11115.53348,80,1,8.8,7.2,8.5,9,22,0,s
193.582987,85,1,8.3,6.9,8.1,8.530885,27,0,s
3571.961946,80,3,8.6,6.88237,7.3,6,15,12,m
272.640097,85,1,9.1,7.2,8.3,8.530885,29,8,l
1160.149837,85,1,8.3,7.3,8.1,9,14,140,s
595.759463,86,1,7.7,6.6,7.6,8,17,0,s
3579.100999,80,3,8.6,6.88237,7.3,6,15,0,m
10.733792,84,1,7.1,6.1,7.1,8.530885,32,8,m
10288.49531,81,1,8.2,6.88237,8.009683,9,47,0,s
4175.522035,85,3,7,5.8,7.1,8.530885,25,0,s
324.596506,85,1,9.1,7.2,8.3,8.530885,29,6,l
15138.08904,86,1,8.8,7.2,8.5,9,22,0,s
15572.39419,86,1,9.5,6.88237,8.5,12,33,0,m
1298.821933,86,3,7.5,6.9,7.2,9,10,62,s
72.511598,60,1,7.8,6.5,7.3,8.530885,20,12,l
452.755927,60,1,9.1,7,8.8,8.530885,30,11,s
5.21414,85,3,7.5,6.9,7.2,9,10,8,m
17111.93261,85,1,9.5,6.88237,8.5,12,33,0,m
571.549662,82,1,7.9,6.4,7.4,8,24,0,s
148.198985,85,1,9.1,7.2,8.3,8.530885,29,15,l
17793.68966,85,1,9.5,6.88237,8.5,12,33,0,s
138.21082,85,1,8.1,6.88237,8,8.530885,30,100,s
266.181568,85,1,9.1,7.2,8.3,8.530885,29,6,m
3743.199673,84,1,9.1,7.2,8.3,8.530885,29,0,s
5632.386368,80,1,7.5,6.4,7.3,8.530885,33,5,s
16841.49727,85,1,8,6.6,7.3,7,46,7,s
701.090461,85,1,7.8,6.8,7.7,8,24,0,m
410.416367,85,1,9.1,7.2,8.3,8.530885,29,9,m
130.419407,85,1,9.1,7.2,8.3,8.530885,29,6,m
660.373484,86,1,7.8,6.8,7.7,8,24,73,l
571.678573,85,1,7.4,6.6,7.4,10,66,0,s
3155.992561,81,1,8.1,7.1,8.1,8.530885,18,11,s
325.311625,85,1,8.1,6.88237,8.3,9,45,0,m
133.310735,85,1,9.1,7.2,8.3,8.530885,29,21,l
856.674247,86,1,9.1,7.2,8.3,8.530885,29,0,s
94.104765,85,1,6.5,6.88237,8.009683,8.530885,41,0,s
201.11379,85,1,6.9,6.88237,8.009683,8.530885,60,19,s
71.877688,85,1,8.3,6.9,8.1,8.530885,27,8,m
3408.253834,81,1,8.1,6.88237,8.009683,9,19,0,s
5850.166902,88,1,8.3,6.88237,8.009683,9,22,0,s
84.439005,85,1,7.5,6.88237,7.5,7,30,0,s
570.087121,60,1,9.1,7,8.8,8.530885,30,5,m
4688.317598,60,1,9.1,7,8.8,8.530885,30,6,m
30.358784,50,1,7,6.88237,8.009683,8,21,6,s
3483.132499,80,3,8.6,6.88237,7.3,6,15,0,m
23.110367,74,3,7,6.8,7.3,8.530885,13,6,m
123.931615,89,1,7.5,5.8,6.6,4,10,11,m
146.401993,89,1,8.8,7.2,8.5,9,22,18,l
206.845726,88,1,7.6,5.4,7.7,8.530885,30,15,l
104.025494,85,1,6.9,6.4,6.9,8.530885,33,80,s
7082.868625,88,1,8.6,6.88237,9.1,8.530885,33,0,s
189.03895,85,1,9.1,7.2,8.3,8.530885,29,7,l
93.043513,85,1,9.1,7.2,8.3,8.530885,29,5,l
5683.689801,85,3,8.6,6.88237,7.3,6,15,0,s
88.721373,85,1,9.1,7.2,8.3,8.530885,29,6,m
30.191009,82,1,7.9,6.6,7.9,8,49,23,m
173.770453,89,1,7.8,6.88237,7.8,8,47,0,s
182.768299,89,1,8.3,6.88237,8.009683,9,22,12,s
1733.864148,85,1,9.1,7.2,8.3,8.530885,29,6,s
170.636776,86,1,7,6.3,7,7,44,0,s
298.675606,89,1,8.8,7.2,8.5,9,22,18,l
643.977731,85,1,7.8,6.8,7.7,8,24,8,m
7324.812406,81,1,7.9,6.6,7.6,6,33,0,s
10974.96498,80,1,9.5,6.88237,8.5,12,33,39,m
5959.457694,85,1,7.9,5.8,7.9,8.530885,33,12,s
1379.431283,60,1,9.1,7,8.8,8.530885,30,9,m
350.885997,85,1,6.2,5.3,6.2,8.530885,5,60,s
229.817663,85,1,8.2,6.88237,8.009683,6,7,127,m
220.666704,60,1,7.7,6.1,7.2,8.530885,20,8,m
79.773105,85,1,7.5,6.88237,7.5,7,30,91,s
