area,causeCode,country,damageAmountOrder,damageAmountOrderTotal,damageMillionsDollars,damageMillionsDollarsTotal,day,deaths,deathsAmountOrder,deathsAmountOrderTotal,deathsTotal,earthquakeEventId,eqDepth,eqMagnitude,eventValidity,hour,housesDamaged,housesDamagedAmountOrder,housesDamagedAmountOrderTotal,housesDamagedTotal,housesDestroyed,housesDestroyedAmountOrder,housesDestroyedAmountOrderTotal,housesDestroyedTotal,id,injuries,injuriesAmountOrder,injuriesAmountOrderTotal,injuriesTotal,latitude,locationName,longitude,maxWaterHeight,minute,missing,missingAmountOrder,missingAmountOrderTotal,missingTotal,month,numDeposits,numRunups,oceanicTsunami,publish,regionCode,second,tsIntensity,tsMtAbe,tsMtIi,volcanoEventId,warningStatusId,year
,0,ISRAEL,,,,,8,,,,,,,,2,,,,,,,,,,75,,,,,,ISRAEL AND EGYPTIAN COASTS,,,,,,,,4,0,2,TRUE,TRUE,50,,,,,,,881
,1,JAPAN,,,,,2,2000,4,4,2000,5900,,6.5,3,,,,,,,,,,76,,,,,37.5,NIIGATA,138.1,,,,,,,8,0,1,TRUE,TRUE,85,,1,,2,,,887
,1,JAPAN,3,3,,,26,,3,3,,262,,8.6,4,,,,,,,,,,77,,,,,33,NANKAIDO,135.3,,,,,,,8,2,2,TRUE,TRUE,85,,3,,3,,,887
,1,JAPAN,,,,,,,,,,5901,,7,4,,,,,,,,,,79,,,,,33.8,KUMANONADA,136.7,2,,,,,,,0,1,TRUE,TRUE,85,,1,,1,,,922
,1,IRAN,,,,,4,,,,,287,,,1,,,,,,,,,,80,,,,,,PERSIAN GULF OR CASPIAN SEA,,,,,,,,4,0,0,TRUE,TRUE,40,,3,,,,,957
,0,TURKEY,,,,,26,,,,,,,,2,,,,,,,,,,81,,,,,41.04,"MARMARA SEA, STRAIT OF BOSPORUS",28.98,,,,,,,10,0,1,TRUE,TRUE,50,,3,,,,,975
,1,SYRIA,,,,,5,,,,,304,,,1,,,,,,,,,,82,,,,,,SYRIAN COASTS,,,,,,,,4,0,0,TRUE,TRUE,50,,,,,,,991
,1,JAPAN,4,3,,,16,1001,4,4,1001,5902,,7.5,3,,,,,,3000,4,4,3000,83,,,,,34.8,"OFF MASUDA, SHIMANE PREFECTURE",131.8,10,,,,,,6,1,2,TRUE,TRUE,85,,3,,3.3,,,1026
,1,SYRIA,,3,,,5,,2,4,70000,8156,,,4,,,,,,,,3,,84,,,,,33,AKKO,35,,,,,,,12,0,5,TRUE,TRUE,50,,4,,,,,1033
,1,TURKEY,,3,,,2,,,3,,8237,,6.8,1,,,,,,,,3,,87,,,,,38.4,CONSTANTINOPLE,27.3,,,,,,,2,0,1,TRUE,TRUE,50,,,,,,,1039
